Order,Family,Name,Scientific name,Size (cm),Cavity nester type,Reference ,Obligate or Facultative,Occasional,Excavated,Decay-formed,Excavator species,Status,Nearctic,Palearctic,Neotropical,Afrotropical,Oriental,Australasia
Strigiformes,Strigidae (Owls),Brown Wood-owl,Strix leptogrammica,40–55,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,,1,
Strigiformes,Strigidae (Owls),Great Grey Owl,Strix nebulosa,59–69,Non-excavator,10,Facultative,,,X,,Not globally threatened,1,1,,,,
Strigiformes,Strigidae (Owls),Tawny Owl,Strix aluco,37–39,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,,1,
Strigiformes,Strigidae (Owls),Himalayan Owl,Strix nivicolum,35–40 ,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,,1,
Strigiformes,Strigidae (Owls),Omani Owl,Strix omanensis,30–35,Non-excavator,Inferred,Unknown,,,,,Not globally threatened,,1,,,,
Strigiformes,Strigidae (Owls),Barred Owl,Strix varia,48-51,Non-excavator,10,Facultative,,,X,,Not globally threatened,1,,,,,
Strigiformes,Strigidae (Owls),Fulvous Owl,Strix fulvescens,38–48,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,1,,,
Strigiformes,Strigidae (Owls),Rusty-barred Owl,Strix hylophila,35,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,1,,,
Strigiformes,Strigidae (Owls),Rufous-legged Owl,Strix rufipes,33–38,Non-excavator,10,Obligate,,X,X,Picidae (Campephilus magellanicus),Not globally threatened,,,1,,,
Strigiformes,Strigidae (Owls),Chaco Owl,Strix chacoensis,35–40 ,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,1,,,
Strigiformes,Strigidae (Owls),Ural Owl,Strix uralensis,50–62,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,,,
Strigiformes,Strigidae (Owls),Northern Long-eared Owl,Asio otus,35–38 ,Non-excavator,10,Facultative,X,,X,,Not globally threatened,1,1,,1,1,
Strigiformes,Strigidae (Owls),Jamaican Owl,Pseudoscops grammicus,27–34,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,1,,,
Strigiformes,Strigidae (Owls),Northern Saw-whet Owl ,Aegolius acadicus,18-21.5,Non-excavator,10,Facultative,,X,,Picidae,Not globally threatened,1,,,,,
Strigiformes,Strigidae (Owls),Boreal Owl,Aegolius funereus,21-28,Non-excavator,10,Obligate,,X,,"Picidae (Dryocopus pileatus, Colaptes auratus and Dryocopus martius)",Not globally threatened,,1,,,,
Strigiformes,Strigidae (Owls),Unspotted Saw-whet Owl,Aegolius ridgwayi,18–20,Non-excavator,10,Obligate,,X,,Picidae,Not globally threatened,,,1,,,
Strigiformes,Strigidae (Owls),Buff-fronted Owl,Aegolius harrisii,20–21,Non-excavator,10,Obligate,,X,X,Aratinga,Not globally threatened,,,1,,,
Strigiformes,Strigidae (Owls),West Solomons Boobook ,Ninox jacquinoti,26–31,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),Tasmanian Boobook,Ninox leucopsis,28–30 ,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),Morepork,Ninox novaeseelandiae,26–29 ,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),Powerful Owl ,Ninox strenua,48–65,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),Romblon Boobook ,Ninox spilonotus,26,Non-excavator,Inferred,Obligate,,,X,,Vulnerable,,,,,1,
Strigiformes,Strigidae (Owls),Buru Boobook,Ninox hantu,25–36,Non-excavator,Inferred,Obligate,,,X,,Not Globally Threatened,,,,,1,
Strigiformes,Strigidae (Owls),Seram Boobook,Ninox squamipila,25–36,Non-excavator,Inferred,Obligate,,,X,,Not Globally Threatened,,,,,1,
Strigiformes,Strigidae (Owls),Guadalcanal Boobook,Ninox granti,24,Non-excavator,Inferred,Obligate,,,X,,Vulnerable,,,,,,1
Strigiformes,Strigidae (Owls),Malaita Boobook,Ninox malaitae,22,Non-excavator,Inferred,Obligate,,,X,,Vulnerable,,,,,,1
Strigiformes,Strigidae (Owls),Makira Boobook,Ninox roseoaxillaris,21,Non-excavator,Inferred,Obligate,,,X,,Vulnerable,,,,,,1
Strigiformes,Strigidae (Owls),Sumba Boobook,Ninox rudolfi,30–36,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Andaman Boobook,Ninox affinis,21–28,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Southern Boobook,Ninox boobook,27–36,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,1,1
Strigiformes,Strigidae (Owls),Least Boobook,Ninox sumbaensis, 23,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Hume's Boobook,Ninox obscura,26–30,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Northern Boobook,Ninox japonica,29–33,Non-excavator,10,Unknown,,,X,,Not globally threatened,,1,,,1,
Strigiformes,Strigidae (Owls),Chocolate Boobook,Ninox randi,27–33,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Luzon Boobook,Ninox philippensis,15–20,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Mindanao Boobook,Ninox spilocephala,18,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Mindoro Boobook,Ninox mindorensis,20,Non-excavator,10,Unknown,,,X,,Vulnerable,,,,,1,
Strigiformes,Strigidae (Owls),Cebu Boobook,Ninox rumseyi,25,Non-excavator,10,Unknown,,,X,,Endangered,,,,,1,
Strigiformes,Strigidae (Owls),Camiguin Boobook,Ninox leventisi, 25,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Sulu Boobook,Ninox reyi,19–20,Non-excavator,10,Unknown,,,X,,Vulnerable,,,,,1,
Strigiformes,Strigidae (Owls),Ochre-bellied Boobook,Ninox ochracea,25–29,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Togian Boobook,Ninox burhani,25,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Cinnabar Boobook,Ninox ios,22,Non-excavator,10,Unknown,,,X,,Vulnerable,,,,,1,
Strigiformes,Strigidae (Owls),Halmahera Boobook,Ninox hypogramma,39,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Tanimbar Boobook,Ninox forbesi,30 ,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Papuan Boobook,Uroglaux dimorpha,30–33,Non-excavator,10,Unknown,,,X,,Not assessed,,,,,,1
Strigiformes,Strigidae (Owls),Manus Boobook,Ninox meeki,25–31,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),Speckled Boobook,Ninox punctulata,27,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Bismarck Boobook,Ninox variegata,23–30,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),New Britain Boobook,Ninox odiosa,20–23,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),Rufous Owl ,Ninox rufa,40–52,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),Brown Boobook ,Ninox scutulata,27–33,Non-excavator,10,Obligate,,,X,,Not globally threatened,,1,,,1,
Strigiformes,Strigidae (Owls),Christmas Boobook,Ninox natalis,26–29,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,1,
Strigiformes,Strigidae (Owls),Jungle Boobook,Ninox theomacha,20–28,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,,1
Strigiformes,Strigidae (Owls),Barking Owl ,Ninox connivens,38–44,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,,1
Cathartiformes,Cathartidae (New World Vultures),American Black Vulture,Coragyps atratus,56–74,Non-excavator,10,Facultative,X,,X,,Not globally threatened,1,,1,,,
Cathartiformes,Cathartidae (New World Vultures),King Vulture,Sarcoramphus papa,71–81,Non-excavator,10,Facultative,X,,X,,Not globally threatened,,,1,,,
Cathartiformes,Cathartidae (New World Vultures),Turkey Vulture,Cathartes aura,62–81,Non-excavator,10,Facultative,X,,X,,Not globally threatened,1,,1,,,
Cathartiformes,Cathartidae (New World Vultures),Lesser Yellow-headed Vulture,Cathartes burrovianus,53–65,Non-excavator,37,Facultative,X,,X,,Not globally threatened,,,1,,,
Cathartiformes,Cathartidae (New World Vultures),Greater Yellow-headed Vulture,Cathartes melambrotus,64–76,Non-excavator,10,Facultative,X,,X,,Not globally threatened,,,1,,,
Caprimulgiformes,Aegothelidae (Owlet-nightjars),New Caledonian Owlet-nightjar,Aegotheles savesi,28,Non-excavator,10,Obligate,,,X,,Critically Endangered,,,,,,1
Caprimulgiformes,Aegothelidae (Owlet-nightjars),Australian Owlet-nightjar,Aegotheles cristatus,21–25,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,,1
