cell_id,coast_dist
24658,274.8932397098171
24659,588.3415875182935
24660,1451.5764147464042
25931,6576.817043789197
25932,2689.4581885147036
25933,11955.73342081861
25934,17756.148213876037
25935,14228.905773896957
25936,10701.66333391788
25937,2087.197434055781
25938,18041.598089112766
27059,8641.93905614252
27060,2971.7557444091367
27061,2698.4275673242455
27062,8368.610879057625
27063,9271.844215202182
27064,4631.335262502448
27065,9.173690197285854
27066,18703.273200518644
27205,1123.371259625699
27206,9517.036732237897
27207,18783.311964541797
27208,28049.587196845696
27209,37315.8624291496
27210,44524.759697657006
27211,40997.51725767792
27212,35649.23939161476
27213,19694.838736557784
27214,3958.2379671903705
28327,7629.199491749061
28328,3214.636019271293
28329,1199.9274532064762
28330,5614.490925684245
28331,9006.15215812145
28332,6811.337308354142
28333,6415.592365715081
28334,12085.775677448466
28335,17755.958989181847
28336,23426.142300915228
28337,29096.325612648616
28338,34766.508924382
28339,35870.07116099527
28340,31229.56220829554
28341,7604.1534140428885
28342,1840.2304934933711
28343,8413.449122741573
28344,8392.503264696108
28345,7394.157679092377
28346,6395.812093488647
28347,6161.013373963529
28348,16716.367282264757
28352,14886.179130934735
28353,20070.1794737347
28480,775.0209080765406
28481,18894.097603751143
28482,34877.1657405689
28483,44143.440972872784
28484,53409.7162051767
28485,62675.9914374806
28486,71293.371181438
28487,64573.977988445986
28488,54781.16604309329
28489,28494.83161952737
28490,2208.497195961444
28491,24077.83722760448
29597,4006.6974577466353
29598,1496.7617561870698
29599,4113.056005008852
29600,6729.350253830634
29601,10178.333063830843
29602,14592.896536308612
29603,19007.46000878638
29604,23422.023481264147
29605,27836.586953741917
29606,32251.150426219687
29607,35916.79666499346
29608,33721.98181522616
29609,32815.77254020898
29610,38483.67372277283
29611,44153.85703450622
29612,49824.0403462396
29613,55494.22365797299
29614,61164.40696970637
29615,62468.29810678836
29616,42047.495741057995
29617,25157.877868961164
29618,28027.876375704785
29619,34601.095004952986
29620,35374.03965704607
29621,29480.10544529368
29622,17222.643536511652
29623,13633.31688317574
29624,10043.990229839828
29625,7178.846199432537
29626,9444.562301481832
29627,11710.278403531125
29628,11611.483793290297
29629,6427.483450490334
29630,1243.4831076903704
29631,3940.517235109592
29632,7636.730955023254
